    Hinst Name                                                         Module Name                  Inst Count           Total Area
--------------------------------------------------------------------------------------------------------------------------------
top                                                                                                       2222             6593.342
        u_systolic_array_top/sys_array/row[0].col[32].pe/u_fp32_mac    fp32_mac_102376                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[32].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102313          3               15.960
          u_systolic_array_top/sys_array/row[0].col[32].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106471          2               10.640
      u_systolic_array_top/sys_array/row[0].col[33].pe                 processing_element_N64_62644         12               41.762
        u_systolic_array_top/sys_array/row[0].col[33].pe/u_fp32_mac    fp32_mac_102375                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[33].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102312          3               15.960
          u_systolic_array_top/sys_array/row[0].col[33].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106470          2               10.640
      u_systolic_array_top/sys_array/row[0].col[34].pe                 processing_element_N64_62643         12               41.762
        u_systolic_array_top/sys_array/row[0].col[34].pe/u_fp32_mac    fp32_mac_102374                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[34].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102311          3               15.960
          u_systolic_array_top/sys_array/row[0].col[34].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106469          2               10.640
      u_systolic_array_top/sys_array/row[0].col[35].pe                 processing_element_N64_62642         12               41.762
        u_systolic_array_top/sys_array/row[0].col[35].pe/u_fp32_mac    fp32_mac_102373                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[35].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102310          3               15.960
          u_systolic_array_top/sys_array/row[0].col[35].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106468          2               10.640
      u_systolic_array_top/sys_array/row[0].col[36].pe                 processing_element_N64_62641         12               41.762
        u_systolic_array_top/sys_array/row[0].col[36].pe/u_fp32_mac    fp32_mac_102372                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[36].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102309          3               15.960
          u_systolic_array_top/sys_array/row[0].col[36].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106467          2               10.640
      u_systolic_array_top/sys_array/row[0].col[37].pe                 processing_element_N64_62640         12               41.762
        u_systolic_array_top/sys_array/row[0].col[37].pe/u_fp32_mac    fp32_mac_102371                       5               26.600
